Abdon;1
Jonasz;1
Achilles;1
Mirosław;1
Dionizy;1
Grodzisław;1
Lejla;0
Hilary;1
Marianna;0
Rut;0
Tęgomir;1
Apoloniusz;1
Rozalia;0
Tymon;1
Dorosława;0
Minerwa;0
Ludmił;1
Bożydar;1
Miranda;0
Bogdan;1
Ładysław;1
Grzegorz;1
Walerian;1
Dawid;1
Oda;0
Roch;1
Luborad;1
Arabella;0
Ewarysta;0
Bolesława;0
Pafnucy;1
Telesfor;1
Lara;0
Napoleon;1
Adelard;1
Kwiatosława;0
Dacjusz;1
Rejna;0
Kwietosław;1
Faris;1
Józef;1
Sebastian;1
Ksawery;1
Wierzchosława;0
Jasuf;1
Miłobąd;1
Róża;0
Bożena;0
Faustyna;0
Najmiła;0
Mieczysława;0
Fortunat;1
Szymona;0
Bernarda;0
Ezaw;1
Mariola;0
Radogost;1
Dominika;0
Kanimir;1
Semira;0
Kornelia;0
Chwalibóg;1
Jadwiga;0
Genowefa;0
Fabiana;0
Idzi;1
Zyta;0
Cecylia;0
Hektor;1
Weridiana;0
Korneliusz;1
Lubomił;1
Roma;0
Gościsław;1
Konstanty;1
Przedpełk;1
Zenobia;0
Mściwoj;1
Błażena;0
Marian;1
Patryk;1
Wojsław;1
Cyryl;1
Łazarz;1
Lubomir;1
Polikarp;1
Lidia;0
Zenona;0
Krystian;1
Anatolia;0
Wolimir;1
Bogdał;1
Miroda;0
Angelina;0
Bożidar;1
Zbigniew;1
January;1
Julia;0
Ota;0
Walentyna;0
Waldemar;1
Oriana;0
Radosława;0
Barnaba;1
Miriam;0
Cichosław;1
Helga;0
Atena;0
Adrianna;0
Ariel;1
Erwin;1
Apollo;1
Mariusz;1
Nora;0
Jędrzej;1
Floriana;0
Skałosz;1
Derwit;1
Miłorad;1
Lilianna;0
Jaromira;0
Gardomir;1
Agata;0
Bronisław;1
Chrystian;1
Fryderyk;1
Mirella;0
Dobiesław;1
Leo;1
Tessa;0
Subisław;1
Kordian;1
Jagoda;0
Raszyda;0
Wespazjan;1
Tatiana;0
Baldwin;1
Augustyna;0
Witosław;1
Stoisław;1
Sylwia;0
Henrieta;0
Żelisława;0
Joachima;0
Natalia;0
Walenty;1
Makary;1
Ernest;1
Jakub;1
Abelard;1
Mojmierz;1
Ludwik;1
Robert;1
Anzelm;1
Regina;0
Gracjana;0
Idalia;0
Hubert;1
Danko;1
Mieszko;1
Alberta;0
Norbert;1
Zefiryna;0
Anetta;0
Roderyk;1
Hanna;0
Dymitr;1
Milan;1
Artur;1
Dalbor;1
Konstancja;0
Inocenty;1
Budzisław;1
Olaf;1
Tristan;1
Adrian;1
Renat;1
Miłosz;1
Przemysł;1
Gabriel;1
Elena;0
Otton;1
Wolimira;0
Idosława;0
Rafaela;0
Polianna;0
Klaudyna;0
Mariam;0
Małgorzata;0
Jolanta;0
Milena;0
Dżamila;0
Samson;1
Brunhilda;0
Alojzy;1
Hiacynt;1
Betina;0
Elżbieta;0
Dalmira;0
Jasława;0
Lucyna;0
Dajmira;0
Helena;0
Sławomira;0
Lubosław;1
Prokop;1
Serafin;1
Honorata;0
Ada;0
Manuel;1
Fatma;0
Leopolda;0
Beat;1
Klara;0
Zofia;0
Chwalimir;1
Danuta;0
Alicja;0
Zygmunt;1
Oktawiusz;1
Antonina;0
Żaneta;0
Domasław;1
Gerarda;0
Zygbert;1
Maryn;1
Teofila;0
Dyzma;0
Tomisław;1
Jan;1
Otokar;1
Bartosz;1
Krzesimir;1
Świętomir;1
Larysa;0
Bromir;1
Józefina;0
Aleksandra;0
Zoja;0
Eliza;0
Hestia;0
Cezaryna;0
Urban;1
Ferdynand;1
Angela;0
Kiara;0
Berenika;0
Macieja;0
Edgar;1
Władysław;1
Sabrina;0
Izolda;0
Ronald;1
Maksymilian;1
Izabela;0
Gualfard;1
Hilaria;0
Kryspin;1
Bogumiła;0
Emilia;0
Maksa;0
Lubogost;1
